day,month,year,location,total_cases,total_vaccinations,new_cases
02,01,2021,Solomon Islands,17.0,0.0,0.0
02,01,2021,Vanuatu,1.0,0.0,0.0
02,02,2020,Australia,12.0,0.0,0.0
02,02,2020,Fiji,0.0,0.0,0.0
02,02,2021,Australia,28829.0,0.0,6.0
02,02,2021,Fiji,55.0,0.0,0.0
02,02,2021,French Polynesia,0.0,2133.0,0.0
02,02,2021,Marshall Islands,4.0,0.0,0.0
02,02,2021,Micronesia (country),1.0,0.0,0.0
02,02,2021,New Caledonia,0.0,1118.0,0.0
02,02,2021,New Zealand,2308.0,0.0,1.0
02,02,2021,Papua New Guinea,867.0,0.0,0.0
02,02,2021,Samoa,2.0,0.0,0.0
02,02,2021,Solomon Islands,17.0,0.0,0.0
02,02,2021,Vanuatu,1.0,0.0,0.0
02,03,2020,Australia,30.0,0.0,3.0
02,03,2020,Fiji,0.0,0.0,0.0
02,03,2020,New Zealand,1.0,0.0,0.0
02,03,2021,Australia,28996.0,50840.0,10.0
02,03,2021,Fiji,59.0,0.0,0.0
02,03,2021,French Polynesia,0.0,10097.0,0.0
02,03,2021,Marshall Islands,4.0,0.0,0.0
02,03,2021,Micronesia (country),1.0,0.0,0.0
02,03,2021,New Caledonia,0.0,0.0,0.0
02,03,2021,New Zealand,2384.0,9616.0,2.0
02,03,2021,Papua New Guinea,1365.0,0.0,0.0
02,03,2021,Samoa,3.0,0.0,0.0
02,03,2021,Solomon Islands,18.0,0.0,0.0
02,03,2021,Vanuatu,1.0,0.0,0.0
02,04,2020,Australia,5116.0,0.0,254.0
02,04,2020,Fiji,7.0,0.0,2.0
02,04,2020,New Zealand,797.0,0.0,89.0
02,04,2020,Papua New Guinea,1.0,0.0,0.0
02,04,2021,Australia,29341.0,828416.0,8.0
02,04,2021,Fiji,67.0,0.0,0.0
02,04,2021,French Polynesia,0.0,0.0,0.0
02,04,2021,Marshall Islands,4.0,0.0,0.0
02,04,2021,Micronesia (country),1.0,0.0,0.0
02,04,2021,New Caledonia,0.0,0.0,0.0
02,04,2021,New Zealand,2501.0,82179.0,0.0
02,04,2021,Papua New Guinea,6475.0,0.0,363.0
02,04,2021,Samoa,3.0,0.0,0.0
02,04,2021,Solomon Islands,19.0,0.0,0.0
02,04,2021,Vanuatu,3.0,0.0,0.0
02,04,2021,Wallis and Futuna,0.0,0.0,0.0
02,05,2020,Australia,6799.0,0.0,21.0
02,05,2020,Fiji,18.0,0.0,0.0
02,05,2020,New Zealand,1487.0,0.0,2.0
02,05,2020,Papua New Guinea,8.0,0.0,0.0
02,05,2021,Australia,29838.0,2260615.0,14.0
02,05,2021,Fiji,119.0,0.0,0.0
02,05,2021,French Polynesia,0.0,0.0,0.0
02,05,2021,Marshall Islands,4.0,0.0,0.0
02,05,2021,Micronesia (country),1.0,0.0,0.0
02,05,2021,Nauru,0.0,0.0,0.0
02,05,2021,New Caledonia,0.0,0.0,0.0
02,05,2021,New Zealand,2622.0,284732.0,4.0
02,05,2021,Papua New Guinea,11206.0,0.0,87.0
02,05,2021,Samoa,3.0,0.0,0.0
02,05,2021,Solomon Islands,20.0,0.0,0.0
02,05,2021,Tonga,0.0,0.0,0.0
02,05,2021,Tuvalu,0.0,0.0,0.0
02,05,2021,Vanuatu,4.0,0.0,0.0
02,05,2021,Wallis and Futuna,0.0,0.0,0.0
02,06,2020,Australia,7229.0,0.0,8.0
02,06,2020,Fiji,18.0,0.0,0.0
02,06,2020,New Zealand,1504.0,0.0,0.0
02,06,2020,Papua New Guinea,8.0,0.0,0.0
02,06,2021,Australia,30137.0,4642703.0,13.0
02,06,2021,Cook Islands,0.0,0.0,0.0
02,06,2021,Fiji,508.0,0.0,44.0
02,06,2021,French Polynesia,0.0,0.0,0.0
02,06,2021,Kiribati,2.0,0.0,0.0
02,06,2021,Marshall Islands,4.0,0.0,0.0
02,06,2021,Micronesia (country),1.0,0.0,0.0
02,06,2021,Nauru,0.0,0.0,0.0
02,06,2021,New Caledonia,0.0,0.0,0.0
02,06,2021,New Zealand,2682.0,692370.0,2.0
02,06,2021,Papua New Guinea,15910.0,0.0,0.0
02,06,2021,Samoa,3.0,0.0,0.0
02,06,2021,Solomon Islands,20.0,0.0,0.0
02,06,2021,Tonga,0.0,0.0,0.0
02,06,2021,Tuvalu,0.0,0.0,0.0
02,06,2021,Vanuatu,4.0,0.0,0.0
02,06,2021,Wallis and Futuna,0.0,0.0,0.0
02,07,2020,Australia,8066.0,0.0,65.0
02,07,2020,Fiji,18.0,0.0,0.0
02,07,2020,New Zealand,1530.0,0.0,0.0
02,07,2020,Papua New Guinea,11.0,0.0,0.0
02,07,2021,Australia,30734.0,8121649.0,50.0
02,07,2021,Cook Islands,0.0,0.0,0.0
02,07,2021,Fiji,5253.0,0.0,404.0
02,07,2021,French Polynesia,0.0,0.0,0.0
02,07,2021,Kiribati,2.0,0.0,0.0
02,07,2021,Marshall Islands,4.0,0.0,0.0
02,07,2021,Micronesia (country),1.0,0.0,0.0
02,07,2021,Nauru,0.0,0.0,0.0
02,07,2021,New Caledonia,0.0,0.0,0.0
02,07,2021,New Zealand,2743.0,1217899.0,0.0
02,07,2021,Niue,0.0,0.0,0.0
02,07,2021,Papua New Guinea,17098.0,0.0,0.0
02,07,2021,Pitcairn,0.0,0.0,0.0
02,07,2021,Samoa,3.0,0.0,0.0
02,07,2021,Solomon Islands,20.0,0.0,0.0
02,07,2021,Tokelau,0.0,0.0,0.0
02,07,2021,Tonga,0.0,0.0,0.0
02,07,2021,Tuvalu,0.0,0.0,0.0
02,07,2021,Vanuatu,4.0,0.0,0.0
02,07,2021,Wallis and Futuna,0.0,0.0,0.0
02,08,2020,Australia,18318.0,0.0,423.0
02,08,2020,Fiji,27.0,0.0,0.0
02,08,2020,New Zealand,1567.0,0.0,2.0
02,08,2020,Papua New Guinea,110.0,0.0,19.0
02,08,2021,Australia,34836.0,12594451.0,224.0
02,08,2021,Cook Islands,0.0,0.0,0.0
02,08,2021,Fiji,31513.0,628823.0,1100.0
02,08,2021,French Polynesia,0.0,161482.0,0.0
